,rho,Joh,U,TE,NE,Jtot,aMHD,Paux,Nalf,Jbs,q,TI,Nd+t,Jext,jdj,TN,Nz,Jnoh,Nath,Dn,Cn,Jnb,Nb,XiNC,shif,Jrf,Naff,He,del,Jbsa,Zeff,Xi,k,Plin,Pdte,Pex,Peic,Psyn,Pdt,Pnbe,PeEX,Prad,Pdti,Pix,Pneu,Pbrm,Poh,Pibm,PiEX,x,EQFF,rqst,bFa%,Fp,Torq,ptot,bth%,Anrm,EQPF,rst1,bnb%,xq,WkHz,pNB,dRdh
55,0.9816,1.113,0.05289,17.9,11.19,1.481,0.2525,0.1021,0.5068,0.1991,0.9997,15.34,9.014,0.1696,2.03,14.53,0.2373,0.3687,0.4676,0.08504,0,0.1273,0.0278,0.0706,0.175,0.04228,0.03926,0.2835,0.05587,0.02913,1.698,0.5669,1.443,0.01295,0.2247,0.05134,0.06644,0.01598,0.3269,0.02722,0.07856,0.07446,0.1021,0,-0.0003951,0.04553,0.001944,0.02355,0.02355,0.364,0.7346,0.0754,0.5246,0.2054,0.00769,0.6339,4.972,0.4073,0.7182,0.04271,0.1407,0.3673,1.693,0.01582,0.5972
56,0.9993,1.108,0.0542,17.63,11.19,1.475,0.2537,0.1038,0.4984,0.1983,1.0,15.12,9.029,0.1686,2.021,14.31,0.2372,0.3669,0.4605,0.08591,0,0.1243,0.02713,0.06942,0.1738,0.0443,0.03786,0.2864,0.05517,0.02881,1.696,0.5728,1.443,0.01304,0.2208,0.05378,0.06662,0.01574,0.3197,0.02703,0.08082,0.07391,0.09875,0,-0.0004212,0.04512,0.001984,0.02303,0.02303,0.3705,0.7407,0.07524,0.5045,0.2128,0.007559,0.6232,4.9,0.4146,0.705,0.05647,0.1368,0.3738,1.675,0.01539,0.5881
57,1.017,1.102,0.0555,17.37,11.19,1.467,0.2548,0.1052,0.4899,0.1975,1.001,14.91,9.043,0.1674,2.011,14.09,0.2371,0.3649,0.4535,0.08681,0,0.1214,0.02649,0.06833,0.1725,0.046,0.03646,0.2894,0.05449,0.02846,1.695,0.5787,1.443,0.01314,0.2169,0.05585,0.06675,0.0155,0.3125,0.02687,0.08271,0.07335,0.09544,0,-0.0004494,0.04471,0.00202,0.02251,0.02251,0.3771,0.7452,0.07502,0.4846,0.2204,0.007433,0.6124,4.829,0.4219,0.6919,0.07335,0.1331,0.3804,1.656,0.01497,0.5793
58,1.035,1.095,0.05679,17.1,11.18,1.457,0.2558,0.1062,0.4815,0.1965,1.003,14.69,9.058,0.166,1.998,13.87,0.2371,0.3625,0.4464,0.08772,0,0.1186,0.02587,0.06732,0.1712,0.04734,0.03508,0.2924,0.05381,0.02808,1.693,0.5848,1.442,0.01324,0.2129,0.05748,0.06684,0.01525,0.3052,0.02672,0.08419,0.0728,0.09215,0,-0.0004797,0.0443,0.002053,0.02202,0.02202,0.3837,0.7478,0.07477,0.465,0.2281,0.007313,0.6017,4.757,0.4292,0.679,0.09082,0.1295,0.3869,1.637,0.01456,0.5708
59,1.052,1.087,0.05807,16.83,11.18,1.447,0.2569,0.1068,0.4731,0.1955,1.004,14.47,9.072,0.1642,1.983,13.65,0.237,0.3597,0.4394,0.08865,0,0.1159,0.02526,0.06638,0.1699,0.04829,0.03372,0.2955,0.05313,0.02766,1.692,0.591,1.442,0.01334,0.2089,0.05863,0.06687,0.01501,0.2979,0.02658,0.08521,0.07224,0.08888,0,-0.0005124,0.04389,0.002084,0.02154,0.02154,0.3902,0.7491,0.07448,0.4456,0.236,0.007199,0.591,4.684,0.4365,0.6664,0.1115,0.126,0.3935,1.618,0.01416,0.5627
60,1.07,1.077,0.05934,16.56,11.18,1.434,0.2579,0.1068,0.4648,0.1944,1.006,14.26,9.087,0.162,1.966,13.43,0.2369,0.3565,0.4324,0.08959,0,0.1132,0.02467,0.06553,0.1685,0.04883,0.03238,0.2986,0.05247,0.02722,1.69,0.5973,1.442,0.01345,0.2047,0.05928,0.06685,0.01476,0.2905,0.02645,0.08574,0.07168,0.08565,0,-0.0005475,0.04347,0.002111,0.02107,0.02107,0.3968,0.748,0.07416,0.4266,0.244,0.007088,0.5804,4.612,0.4438,0.6541,0.1342,0.1225,0.4001,1.6,0.01378,0.5548
61,1.088,1.067,0.06058,16.29,11.17,1.419,0.2589,0.1064,0.4565,0.1932,1.008,14.04,9.101,0.1595,1.946,13.22,0.2369,0.3527,0.4255,0.09055,0,0.1106,0.02409,0.06476,0.1672,0.04894,0.03106,0.3018,0.05182,0.02675,1.689,0.6036,1.442,0.01355,0.2006,0.05942,0.06678,0.01452,0.2831,0.02633,0.08575,0.07112,0.08245,0,-0.0005853,0.04305,0.002133,0.02061,0.02061,0.4033,0.7448,0.07383,0.4079,0.252,0.00698,0.5698,4.54,0.4511,0.642,0.1584,0.1191,0.4066,1.581,0.0134,0.5473
62,1.105,1.055,0.06178,16.01,11.17,1.403,0.2599,0.1054,0.4483,0.1919,1.011,13.83,9.115,0.1565,1.924,13.0,0.2368,0.3485,0.4186,0.09152,0,0.1079,0.0235,0.06406,0.1659,0.04862,0.02976,0.3051,0.05117,0.02625,1.687,0.6101,1.442,0.01367,0.1963,0.05903,0.06666,0.01427,0.2757,0.02621,0.08524,0.07057,0.07929,0,-0.0006258,0.04263,0.002151,0.02015,0.02015,0.4099,0.7411,0.07343,0.3896,0.2602,0.006872,0.5592,4.468,0.4584,0.6291,0.1849,0.1158,0.4132,1.562,0.01302,0.5401
63,1.123,1.042,0.06296,15.74,11.17,1.386,0.2609,0.104,0.4402,0.1906,1.014,13.62,9.129,0.1532,1.9,12.79,0.2367,0.3438,0.4117,0.09251,0,0.1054,0.02295,0.06344,0.1645,0.04788,0.02848,0.3084,0.05056,0.02571,1.686,0.6167,1.442,0.01378,0.192,0.05813,0.06647,0.01403,0.2683,0.02612,0.08425,0.07001,0.07617,0,-0.0006693,0.0422,0.002164,0.01971,0.01971,0.4165,0.7362,0.07299,0.3717,0.2685,0.006772,0.5487,4.395,0.4656,0.6155,0.214,0.1126,0.4197,1.543,0.01266,0.5332
64,1.141,1.027,0.06412,15.47,11.16,1.366,0.262,0.1021,0.4321,0.1891,1.017,13.4,9.143,0.1498,1.873,12.57,0.2367,0.3389,0.4049,0.09352,0,0.1031,0.02245,0.0629,0.1631,0.04674,0.02723,0.3117,0.05117,0.02515,1.685,0.6234,1.442,0.0139,0.1877,0.05674,0.06623,0.01378,0.2609,0.02608,0.08283,0.06945,0.0731,0,-0.0007158,0.04178,0.002174,0.01932,0.01932,0.423,0.7313,0.07248,0.3542,0.277,0.006689,0.5383,4.323,0.4729,0.6011,0.2434,0.1097,0.4263,1.525,0.01233,0.5266
65,1.158,1.013,0.06522,15.2,11.16,1.347,0.2629,0.1001,0.4241,0.1875,1.021,13.19,9.156,0.1464,1.846,12.36,0.2366,0.3339,0.3981,0.09454,0,0.1011,0.02203,0.06243,0.1617,0.04523,0.026,0.3151,0.06779,0.02457,1.683,0.6302,1.442,0.01402,0.1833,0.05491,0.06593,0.01353,0.2535,0.02615,0.08106,0.0689,0.07009,0,-0.0007657,0.04135,0.002178,0.019,0.019,0.4296,0.7235,0.07199,0.3371,0.2855,0.006629,0.528,4.252,0.4802,0.5879,0.2756,0.1072,0.4328,1.506,0.01205,0.5204
66,1.176,0.9963,0.0663,14.93,11.16,1.325,0.2639,0.09767,0.4161,0.1858,1.025,12.99,9.169,0.1428,1.816,12.15,0.2365,0.3286,0.3913,0.09557,0,0.09943,0.02167,0.06204,0.1603,0.04339,0.02481,0.3186,0.07644,0.02398,1.682,0.6371,1.442,0.01414,0.1789,0.05268,0.06557,0.01329,0.2461,0.02627,0.07895,0.06835,0.06713,0,-0.000819,0.04092,0.00218,0.01873,0.01873,0.4361,0.7143,0.07154,0.3205,0.2941,0.006585,0.5179,4.18,0.4874,0.5757,0.3093,0.1049,0.4394,1.488,0.0118,0.5144
67,1.194,0.9792,0.06732,14.66,11.15,1.302,0.2649,0.09498,0.4083,0.1841,1.03,12.78,9.182,0.1391,1.785,11.94,0.2365,0.3232,0.3846,0.09662,0,0.0978,0.02133,0.06172,0.1589,0.04126,0.02364,0.3221,0.07604,0.02338,1.68,0.6442,1.442,0.01427,0.1745,0.0501,0.06516,0.01304,0.2388,0.02641,0.07651,0.06781,0.06423,0,-0.000876,0.04049,0.002175,0.01847,0.01847,0.4427,0.7022,0.07115,0.3044,0.3028,0.006546,0.5078,4.109,0.4947,0.5645,0.3446,0.1028,0.446,1.469,0.01155,0.5088
68,1.212,0.9614,0.0683,14.39,11.15,1.279,0.2658,0.09198,0.4005,0.1823,1.035,12.57,9.195,0.135,1.753,11.73,0.2364,0.3173,0.378,0.09769,0,0.09611,0.02097,0.06147,0.1575,0.0389,0.02251,0.3256,0.07545,0.02276,1.679,0.6513,1.443,0.0144,0.17,0.04723,0.06469,0.0128,0.2315,0.02654,0.07377,0.06727,0.06139,0,-0.0009369,0.04007,0.002166,0.0182,0.0182,0.4492,0.6891,0.07075,0.2888,0.3116,0.006504,0.4978,4.038,0.5019,0.5534,0.382,0.1006,0.4525,1.45,0.01131,0.5034
69,1.229,0.9427,0.06924,14.12,11.15,1.254,0.2668,0.08873,0.3928,0.1804,1.04,12.37,9.208,0.1307,1.719,11.53,0.2363,0.3111,0.3714,0.09878,0,0.09438,0.02061,0.06129,0.1561,0.03637,0.02141,0.3293,0.07487,0.02213,1.678,0.6585,1.443,0.01454,0.1655,0.04415,0.06416,0.01256,0.2242,0.02666,0.07081,0.06673,0.05862,0,-0.001002,0.03964,0.002155,0.01792,0.01792,0.4558,0.6755,0.07033,0.2736,0.3205,0.006458,0.488,3.968,0.5091,0.5424,0.4209,0.09836,0.4591,1.432,0.01106,0.4984
70,1.247,0.9235,0.07013,13.86,11.14,1.228,0.2677,0.08532,0.3852,0.1784,1.046,12.17,9.22,0.1263,1.684,11.32,0.2362,0.3047,0.3649,0.09987,0,0.09259,0.02023,0.06118,0.1546,0.03371,0.02033,0.3329,0.07429,0.02149,1.676,0.6658,1.443,0.01468,0.161,0.04092,0.06359,0.01232,0.217,0.02675,0.06768,0.06621,0.05591,0,-0.001071,0.03921,0.002137,0.01764,0.01764,0.4624,0.6602,0.06992,0.2589,0.3295,0.00641,0.4782,3.898,0.5164,0.5315,0.4622,0.09611,0.4656,1.414,0.01081,0.4936
71,1.265,0.9032,0.07098,13.59,11.14,1.201,0.2687,0.08179,0.3777,0.1763,1.053,11.97,9.233,0.1217,1.647,11.12,0.2362,0.2981,0.3584,0.101,0,0.09076,0.01984,0.06115,0.1531,0.03098,0.0193,0.3366,0.07371,0.02083,1.675,0.6733,1.444,0.01482,0.1565,0.03761,0.06296,0.01208,0.2098,0.02684,0.06444,0.06569,0.05328,0,-0.001145,0.03878,0.002117,0.01734,0.01734,0.4689,0.6445,0.06953,0.2448,0.3385,0.006359,0.4686,3.828,0.5236,0.5207,0.5037,0.09382,0.4722,1.395,0.01055,0.4891
72,1.282,0.8834,0.07178,13.33,11.14,1.175,0.2697,0.07821,0.3704,0.1742,1.06,11.77,9.245,0.1171,1.61,10.92,0.2361,0.2913,0.3521,0.1021,0,0.08887,0.01945,0.06118,0.1516,0.02823,0.01829,0.3404,0.07314,0.02018,1.674,0.6808,1.444,0.01497,0.152,0.03427,0.06229,0.01185,0.2028,0.0269,0.06117,0.06517,0.05072,0,-0.001224,0.03835,0.002093,0.01704,0.01704,0.4755,0.6284,0.06914,0.2312,0.3476,0.006303,0.459,3.76,0.5308,0.51,0.5474,0.0915,0.4788,1.377,0.01029,0.4849
73,1.3,0.8627,0.07253,13.08,11.13,1.147,0.2706,0.07464,0.3631,0.172,1.067,11.57,9.256,0.1124,1.573,10.73,0.236,0.2845,0.3457,0.1033,0,0.08694,0.01904,0.06128,0.1501,0.02551,0.01732,0.3442,0.07257,0.01951,1.672,0.6884,1.444,0.01513,0.1475,0.03097,0.06157,0.01162,0.1958,0.02695,0.05792,0.06467,0.04823,0,-0.001308,0.03793,0.002066,0.01672,0.01672,0.482,0.6111,0.06877,0.218,0.3568,0.006245,0.4496,3.691,0.5379,0.4995,0.5928,0.08914,0.4853,1.359,0.01002,0.4809
74,1.318,0.8415,0.07324,12.82,11.13,1.119,0.2717,0.07113,0.3559,0.1698,1.075,11.38,9.268,0.1078,1.534,10.53,0.2359,0.2776,0.3395,0.1044,0,0.08494,0.01862,0.06145,0.1486,0.02286,0.01639,0.3481,0.07203,0.01884,1.671,0.6962,1.445,0.01529,0.143,0.02775,0.06082,0.01139,0.1888,0.02698,0.05473,0.06418,0.04582,0,-0.001397,0.0375,0.002036,0.0164,0.0164,0.4886,0.5948,0.06838,0.2055,0.3661,0.006182,0.4404,3.624,0.5451,0.4883,0.6387,0.08674,0.4919,1.341,0.009753,0.4772
75,1.335,0.8204,0.0739,12.57,11.13,1.091,0.2727,0.06777,0.3488,0.1675,1.084,11.18,9.279,0.1033,1.496,10.34,0.2359,0.2709,0.3333,0.1056,0,0.08301,0.01822,0.06169,0.1471,0.02031,0.01549,0.352,0.07286,0.01817,1.67,0.704,1.445,0.01545,0.1386,0.02466,0.06003,0.01116,0.182,0.02702,0.05169,0.06369,0.04349,0,-0.001492,0.03708,0.002003,0.01608,0.01608,0.4952,0.5785,0.06797,0.1934,0.3754,0.006124,0.4313,3.557,0.5523,0.4767,0.6848,0.08442,0.4984,1.323,0.009492,0.4737
76,1.353,0.7996,0.07451,12.32,11.12,1.064,0.2738,0.06468,0.3418,0.1652,1.093,10.99,9.291,0.09917,1.459,10.15,0.2358,0.2644,0.3272,0.1068,0,0.08127,0.01785,0.06199,0.1455,0.01791,0.01462,0.356,0.0926,0.01749,1.669,0.712,1.446,0.01562,0.1341,0.02174,0.05921,0.01094,0.1753,0.02713,0.04887,0.06322,0.04124,0,-0.001593,0.03666,0.00197,0.01581,0.01581,0.5017,0.5635,0.06755,0.1818,0.3847,0.006079,0.4223,3.492,0.5594,0.4644,0.7324,0.0823,0.505,1.305,0.009254,0.4705
77,1.371,0.7781,0.07507,12.08,11.12,1.037,0.275,0.06194,0.335,0.1629,1.102,10.81,9.301,0.09549,1.421,9.964,0.2357,0.2584,0.3212,0.108,0,0.07983,0.01756,0.06236,0.144,0.01566,0.01379,0.36,0.103,0.01683,1.667,0.7201,1.447,0.0158,0.1297,0.01901,0.05836,0.01072,0.1687,0.02734,0.04635,0.06276,0.03907,0,-0.001701,0.03625,0.001934,0.01559,0.01559,0.5083,0.5473,0.0672,0.1708,0.3941,0.006057,0.4136,3.427,0.5665,0.4531,0.7808,0.08051,0.5115,1.287,0.009053,0.4675
78,1.388,0.7567,0.07561,11.84,11.12,1.009,0.2761,0.05951,0.3282,0.1606,1.112,10.62,9.312,0.09216,1.384,9.779,0.2356,0.2527,0.3152,0.1092,0,0.07857,0.01731,0.06279,0.1424,0.01358,0.013,0.3641,0.1028,0.01617,1.666,0.7282,1.448,0.01598,0.1253,0.01649,0.05749,0.0105,0.1623,0.02761,0.0441,0.06232,0.03698,0,-0.001815,0.03583,0.001898,0.01541,0.01541,0.5148,0.531,0.06692,0.1603,0.4035,0.006049,0.405,3.362,0.5736,0.4428,0.8292,0.07892,0.5181,1.27,0.008874,0.4647
79,1.406,0.7359,0.0761,11.6,11.11,0.9832,0.2773,0.05732,0.3216,0.1582,1.123,10.44,9.322,0.08907,1.348,9.596,0.2356,0.2473,0.3094,0.1105,0,0.07738,0.01707,0.06328,0.1408,0.01169,0.01224,0.3682,0.1023,0.01553,1.665,0.7365,1.449,0.01618,0.121,0.01419,0.05661,0.01028,0.1559,0.02789,0.04208,0.06189,0.03497,0,-0.001937,0.03543,0.001861,0.01524,0.01524,0.5214,0.5145,0.06673,0.1503,0.413,0.006045,0.3966,3.299,0.5807,0.4333,0.879,0.07741,0.5247,1.252,0.008705,0.4621
80,1.424,0.715,0.07654,11.37,11.11,0.957,0.2785,0.05532,0.3151,0.1559,1.134,10.25,9.332,0.08612,1.312,9.417,0.2355,0.242,0.3036,0.1117,0,0.07613,0.01681,0.06384,0.1392,0.009982,0.01151,0.3724,0.1017,0.0149,1.664,0.7449,1.449,0.01638,0.1167,0.01212,0.05571,0.01007,0.1497,0.02815,0.04027,0.06147,0.03304,0,-0.002065,0.03502,0.001822,0.01506,0.01506,0.5279,0.4976,0.06657,0.1408,0.4225,0.006036,0.3883,3.237,0.5878,0.424,0.9294,0.07586,0.5312,1.235,0.00853,0.4597
81,1.441,0.6945,0.07695,11.14,11.11,0.9313,0.2798,0.05352,0.3087,0.1536,1.145,10.07,9.341,0.08331,1.277,9.239,0.2354,0.2369,0.2979,0.113,0,0.07485,0.01655,0.06445,0.1376,0.008457,0.01082,0.3767,0.1013,0.01427,1.663,0.7534,1.45,0.01658,0.1125,0.01027,0.0548,0.009868,0.1436,0.02839,0.03866,0.06107,0.03119,0,-0.002202,0.03462,0.001784,0.01487,0.01487,0.5345,0.4818,0.06645,0.1318,0.432,0.006024,0.3802,3.175,0.5948,0.4149,0.9812,0.07428,0.5378,1.217,0.008353,0.4575
82,1.459,0.674,0.07732,10.91,11.1,0.9059,0.2811,0.05191,0.3024,0.1512,1.157,9.898,9.351,0.08065,1.242,9.065,0.2353,0.2319,0.2923,0.1143,0,0.07354,0.01629,0.06513,0.1359,0.00711,0.01016,0.381,0.1008,0.01366,1.662,0.7619,1.452,0.0168,0.1084,0.008633,0.05389,0.009665,0.1377,0.02861,0.03724,0.06068,0.02942,0,-0.002347,0.03422,0.001743,0.01467,0.01467,0.5411,0.4654,0.06638,0.1232,0.4416,0.00601,0.3723,3.115,0.6018,0.4059,1.033,0.07269,0.5443,1.2,0.008174,0.4554
83,1.477,0.6542,0.07765,10.69,11.1,0.8813,0.2824,0.05049,0.2963,0.1489,1.17,9.723,9.36,0.07814,1.208,8.893,0.2352,0.2271,0.2867,0.1156,0,0.07221,0.01601,0.06586,0.1343,0.005933,0.009532,0.3853,0.1003,0.01306,1.661,0.7706,1.453,0.01703,0.1043,0.007203,0.05297,0.009467,0.1319,0.02882,0.03602,0.06032,0.02772,0,-0.002501,0.03382,0.001703,0.01447,0.01447,0.5476,0.4497,0.06636,0.1151,0.4511,0.005993,0.3645,3.055,0.6088,0.3971,1.087,0.0711,0.5509,1.183,0.007995,0.4536
84,1.495,0.6343,0.07797,10.47,11.09,0.8567,0.2838,0.04924,0.2902,0.1466,1.183,9.551,9.368,0.07577,1.174,8.723,0.2351,0.2224,0.2813,0.1169,0,0.07086,0.01574,0.06666,0.1326,0.004914,0.008935,0.3897,0.09981,0.01247,1.66,0.7794,1.454,0.01726,0.1002,0.005966,0.05207,0.009272,0.1262,0.02901,0.03498,0.05997,0.0261,0,-0.002664,0.03343,0.001665,0.01426,0.01426,0.5542,0.435,0.06639,0.1074,0.4607,0.005974,0.3569,2.997,0.6158,0.3885,1.142,0.0695,0.5575,1.166,0.007815,0.4519
85,1.512,0.6149,0.07823,10.26,11.09,0.8328,0.2853,0.04815,0.2843,0.1443,1.196,9.381,9.377,0.07354,1.142,8.556,0.235,0.2179,0.2759,0.1182,0,0.0695,0.01545,0.06753,0.1309,0.00404,0.008369,0.3942,0.09934,0.0119,1.658,0.7883,1.455,0.01751,0.09629,0.004905,0.05117,0.009081,0.1207,0.0292,0.0341,0.05964,0.02455,0,-0.002837,0.03305,0.001624,0.01405,0.01405,0.5607,0.4194,0.06647,0.1002,0.4703,0.005953,0.3494,2.939,0.6227,0.3802,1.197,0.06789,0.564,1.149,0.007634,0.4503
86,1.53,0.5964,0.07846,10.05,11.08,0.8099,0.2868,0.0472,0.2785,0.1421,1.21,9.214,9.385,0.07142,1.11,8.392,0.235,0.2135,0.2706,0.1196,0,0.06813,0.01517,0.06844,0.1292,0.003297,0.007832,0.3987,0.09887,0.01134,1.657,0.7973,1.456,0.01777,0.09241,0.004003,0.05029,0.008893,0.1154,0.02936,0.03336,0.05933,0.02308,0,-0.003019,0.03267,0.001584,0.01383,0.01383,0.5673,0.4048,0.06662,0.09337,0.4799,0.005929,0.3421,2.883,0.6297,0.372,1.253,0.06629,0.5706,1.132,0.007454,0.4489
87,1.548,0.5781,0.07867,9.851,11.08,0.7874,0.2883,0.04636,0.2728,0.1399,1.224,9.049,9.393,0.06941,1.079,8.231,0.2349,0.2093,0.2654,0.121,0,0.06674,0.01488,0.06941,0.1275,0.002672,0.007324,0.4032,0.09842,0.0108,1.656,0.8064,1.458,0.01789,0.08862,0.003244,0.04943,0.00871,0.1102,0.02951,0.03275,0.05889,0.02168,0,-0.003213,0.03229,0.001545,0.01361,0.01361,0.5739,0.3906,0.06683,0.08694,0.4894,0.005904,0.3349,2.827,0.6365,0.3641,1.311,0.06469,0.5771,1.116,0.007274,0.4477
88,1.565,0.56,0.07887,9.652,11.08,0.7652,0.29,0.04563,0.2672,0.1377,1.239,8.886,9.4,0.06748,1.049,8.072,0.2348,0.2052,0.2603,0.1223,0,0.06533,0.01459,0.07044,0.1258,0.00215,0.006844,0.4078,0.09797,0.01027,1.655,0.8156,1.459,0.01818,0.08491,0.00261,0.0486,0.008531,0.1051,0.02964,0.03225,0.05861,0.02034,0,-0.003418,0.03191,0.001507,0.01338,0.01338,0.5804,0.377,0.06711,0.08089,0.499,0.005875,0.3279,2.772,0.6434,0.3565,1.368,0.06307,0.5837,1.099,0.007092,0.4466
89,1.583,0.5431,0.07903,9.458,11.07,0.7443,0.2917,0.04497,0.2617,0.1355,1.255,8.726,9.407,0.06561,1.02,7.916,0.2347,0.2011,0.2553,0.1237,0,0.06389,0.01428,0.07151,0.124,0.001718,0.006391,0.4125,0.09753,0.009761,1.653,0.825,1.461,0.01846,0.08129,0.002086,0.04779,0.008356,0.1002,0.02974,0.03183,0.05835,0.01908,0,-0.003635,0.03153,0.001468,0.01315,0.01315,0.587,0.3638,0.06742,0.0752,0.5086,0.005842,0.3211,2.719,0.6503,0.3487,1.429,0.06144,0.5902,1.083,0.006909,0.4456
90,1.601,0.5254,0.07916,9.268,11.07,0.7226,0.2934,0.04443,0.2563,0.1334,1.271,8.568,9.414,0.06386,0.9906,7.762,0.2346,0.1973,0.2504,0.1252,0,0.0625,0.01399,0.07267,0.1223,0.001363,0.005963,0.4172,0.09722,0.009264,1.652,0.8344,1.463,0.01874,0.07776,0.001655,0.04703,0.008184,0.09551,0.02986,0.03152,0.05809,0.01788,0,-0.003864,0.03116,0.001429,0.01292,0.01292,0.5935,0.3511,0.06778,0.06986,0.5182,0.005813,0.3144,2.666,0.6571,0.3407,1.487,0.05987,0.5968,1.067,0.006732,0.4447
91,1.618,0.5101,0.07925,9.082,11.06,0.7037,0.2953,0.04404,0.2511,0.1313,1.287,8.413,9.421,0.0623,0.9646,7.611,0.2345,0.1936,0.2455,0.1266,0,0.06122,0.01372,0.07387,0.1205,0.001075,0.00556,0.422,0.1027,0.008782,1.651,0.8439,1.464,0.01903,0.07432,0.001305,0.0463,0.008017,0.09093,0.03002,0.03133,0.05784,0.01674,0,-0.004106,0.0308,0.001391,0.01271,0.01271,0.6001,0.3393,0.06819,0.06486,0.5277,0.005794,0.3079,2.615,0.6639,0.3325,1.551,0.05842,0.6034,1.05,0.006569,0.444
92,1.636,0.4928,0.07938,8.901,11.06,0.6831,0.2972,0.04384,0.246,0.1292,1.304,8.26,9.427,0.06099,0.9363,7.463,0.2344,0.1902,0.2408,0.128,0,0.06015,0.0135,0.07514,0.1187,0.0008416,0.005181,0.4268,0.1193,0.008321,1.65,0.8535,1.466,0.01932,0.07099,0.001022,0.04563,0.007853,0.08652,0.03027,0.0313,0.05761,0.01567,0,-0.004362,0.03044,0.001356,0.01255,0.01255,0.6066,0.3283,0.06869,0.06018,0.5372,0.005792,0.3015,2.564,0.6706,0.325,1.61,0.05716,0.6099,1.034,0.006428,0.4434
93,1.654,0.4789,0.07944,8.724,11.05,0.6659,0.2991,0.04377,0.2409,0.1272,1.321,8.109,9.433,0.05984,0.9129,7.317,0.2343,0.1871,0.2361,0.1295,0,0.05919,0.0133,0.07647,0.1169,0.0006549,0.004826,0.4316,0.1234,0.00788,1.648,0.8633,1.468,0.01961,0.06776,0.0007951,0.045,0.007694,0.08227,0.03057,0.03136,0.05739,0.01466,0,-0.004633,0.03008,0.001322,0.0124,0.0124,0.6132,0.3173,0.06931,0.05581,0.5467,0.005799,0.2953,2.515,0.6774,0.3181,1.675,0.05603,0.6165,1.019,0.0063,0.4429
94,1.671,0.4635,0.0795,8.551,11.05,0.6475,0.3011,0.04375,0.236,0.1252,1.339,7.961,9.438,0.05877,0.8876,7.174,0.2341,0.184,0.2315,0.131,0,0.05826,0.01311,0.07787,0.1151,0.0005063,0.004491,0.4366,0.1231,0.00746,1.647,0.8731,1.47,0.0199,0.06462,0.0006147,0.04444,0.007538,0.07818,0.03087,0.03148,0.05717,0.0137,0,-0.004918,0.02973,0.001287,0.01227,0.01227,0.6198,0.3057,0.07002,0.05172,0.5562,0.005809,0.2893,2.466,0.6841,0.3118,1.739,0.05494,0.623,1.003,0.006178,0.4425
95,1.689,0.449,0.07956,8.383,11.04,0.63,0.3031,0.04373,0.2312,0.1233,1.357,7.815,9.443,0.0577,0.8636,7.033,0.234,0.181,0.227,0.1325,0,0.05731,0.01291,0.07933,0.1133,0.000389,0.004178,0.4415,0.1228,0.007057,1.646,0.8831,1.472,0.02019,0.06158,0.0004724,0.04395,0.007386,0.07424,0.03114,0.03161,0.05697,0.01279,0,-0.005219,0.02939,0.001255,0.01212,0.01212,0.6263,0.2953,0.07082,0.0479,0.5657,0.005814,0.2834,2.418,0.6907,0.3057,1.806,0.05384,0.6296,0.9872,0.006054,0.4422
96,1.707,0.4351,0.07959,8.218,11.04,0.6131,0.3053,0.04373,0.2265,0.1214,1.376,7.672,9.448,0.05662,0.8404,6.895,0.2339,0.178,0.2226,0.134,0,0.05632,0.01271,0.08086,0.1114,0.0002971,0.003884,0.4466,0.1224,0.006671,1.645,0.8931,1.474,0.02049,0.05864,0.0003757,0.04353,0.007237,0.07044,0.03139,0.03176,0.05677,0.01194,0,-0.005535,0.02905,0.001221,0.01197,0.01197,0.6329,0.2843,0.07171,0.04434,0.5751,0.005814,0.2776,2.372,0.6974,0.2998,1.875,0.05271,0.6362,0.9718,0.005927,0.442
97,1.724,0.421,0.07962,8.058,11.03,0.5961,0.3075,0.04431,0.2219,0.1196,1.395,7.531,9.452,0.05554,0.8172,6.76,0.2338,0.1751,0.2183,0.1355,0,0.05531,0.0125,0.08245,0.1096,0.0002255,0.003608,0.4516,0.1221,0.006301,1.644,0.9033,1.476,0.02078,0.0558,0.0008986,0.04319,0.007092,0.0668,0.03161,0.03251,0.05658,0.01114,0,-0.005869,0.02871,0.00119,0.01181,0.01181,0.6394,0.2742,0.07268,0.04102,0.5845,0.005811,0.272,2.326,0.704,0.294,1.943,0.05158,0.6427,0.9565,0.0058,0.4419
98,1.742,0.4085,0.07962,7.902,11.02,0.5809,0.3101,0.05435,0.2174,0.1179,1.415,7.392,9.456,0.05445,0.7963,6.627,0.2337,0.1724,0.214,0.137,0,0.05428,0.01228,0.08411,0.1077,0.0001702,0.00335,0.4568,0.1218,0.005951,1.642,0.9135,1.479,0.02108,0.05305,0.01091,0.04294,0.006951,0.0633,0.0318,0.04271,0.05641,0.01039,0,-0.00622,0.02838,0.001159,0.01164,0.01164,0.646,0.2644,0.07376,0.03792,0.5939,0.005803,0.2664,2.281,0.7106,0.2887,2.01,0.05043,0.6493,0.9413,0.00567,0.4419
